"Municipality","Constituency","Party","Name","Name_hanja","Gender","Date_of_birth","Age","Address","Occupation","Education","Career","Votes","Votes_share","PR_Ranking","MRPR"
"서울특별시 ","종로구","더불어민주당","곽상언","郭相彦","남","1971-11-18",52,"서울특별시 종로구 통일로","변호사","서울대학교 국제경제학과 졸업","(현) 더불어민주당 종로구 지역위원회 지역위원장(현) 법무법인 인강 대표변호사",44713,50.92,NA,"MR"
"서울특별시 ","중구성동구갑","더불어민주당","전현희","全賢姬","여","1964-11-04",59,"서울특별시 성동구 왕십리로8길","정당인","고려대학교 법무대학원 의료법학과 졸업(법학석사)","(전) 국민권익위원회 위원장(전) 제18대ㆍ20대 국회의원",65204,52.61,NA,"MR"
"서울특별시 ","중구성동구을","더불어민주당","박성준","朴省俊","남","1969-04-23",54,"서울특별시 중구 만리재로","국회의원","성균관대학교 대학원 정치외교학과 정치학박사","(현)서울 중구성동구을 국회의원(21대 국회)(현)더불어민주당 대변인",61728,50.81,NA,"MR"
"서울특별시 ","용산구","국민의힘","권영세","權寧世","남","1959-02-24",65,"서울특별시 용산구 장문로9가길","국회의원","미국 하버드대학교 케네디스쿨 졸업(행정학석사, 2000.7.~2001.6.)","(현)서울 용산구 국회의원(전)통일부 장관",66583,51.77,NA,"MR"
"서울특별시 ","광진구갑","더불어민주당","이정헌","李政憲","남","1971-05-05",52,"서울특별시 광진구 천호대로","정당인","서강대학교 영어영문학과 졸업","(전)JTBC 뉴스앵커(전)제20대 대통령선거 더불어민주당 선대위 대변인",54105,52.53,NA,"MR"
"서울특별시 ","광진구을","더불어민주당","고민정","高旼廷","여","1979-08-23",44,"서울특별시 광진구 광나루로56길","국회의원","건국대학교 행정대학원 공공정책학과 석사과정 재학중","(현)제21대 국회의원(현)더불어민주당 최고위원",53362,51.47,NA,"MR"
"서울특별시 ","동대문구갑","더불어민주당","안규백","安圭伯","남","1961-04-29",62,"서울특별시 동대문구 한천로63길","국회의원","성균관대학교 무역대학원 무역학과 석사학위과정 수료","(현)국회의원(서울 동대문구갑)(현)더불어민주당 전략공천관리위원장",53978,52.89,NA,"MR"
"서울특별시 ","동대문구을","더불어민주당","장경태","張耿態","남","1983-10-12",40,"서울특별시 동대문구 장한로28가길","국회의원","성균관대학교 국정전문대학원 행정학과 수료(박사학위 과정)","(현)제21대 동대문구을 국회의원(현)더불어민주당 최고위원",58286,54.62,NA,"MR"
"서울특별시 ","중랑구갑","더불어민주당","서영교","徐瑛敎","여","1964-11-11",59,"서울특별시 중랑구 면목로37길","중랑구(갑)국회의원","이화여자대학교대학원 동아시아학연구 비교정치경제전공 수료(박사학위과정)","(전)국회 행정안전위원회 위원장(현)더불어민주당 최고위원",60881,61.92,NA,"MR"
"서울특별시 ","중랑구을","더불어민주당","박홍근","朴洪根","남","1969-10-08",54,"서울특별시 중랑구 봉화산로","제21대 국회의원","경희대학교 행정대학원 환경행정학과 졸업(행정학석사)","(전)더불어민주당 원내대표(현)국회의원(제19,20,21대)",73600,57.72,NA,"MR"
"서울특별시 ","성북구갑","더불어민주당","김영배","金永培","남","1967-03-08",57,"서울특별시 성북구 삼선교로16길","국회의원","고려대학교 정치외교학과 졸업","(전)민선5기, 6기 성북구청장(전)노무현·문재인대통령 청와대비서관",74707,55.68,NA,"MR"
"서울특별시 ","성북구을","더불어민주당","김남근","金南槿","남","1963-08-26",60,"서울특별시 성북구 숭인로","변호사","고려대학교 대학원 법학과 법학박사","(전)고려대학교 법학전문대학원 겸임교수(전)민주사회를 위한 변호사모임 부회장",68872,56.82,NA,"MR"
"서울특별시 ","강북구갑","더불어민주당","천준호","千俊鎬","남","1971-02-15",53,"서울특별시 강북구 삼각산로","제21대 강북구갑 국회의원","경희대학교 행정대학원 자치행정학과 행정학 석사 졸업","(현)제21대 강북구갑 국회의원(현)더불어민주당 당대표 비서실장",47701,57.23,NA,"MR"
"서울특별시 ","강북구을","더불어민주당","한민수","韓玟洙","남","1969-01-15",55,"서울특별시 송파구 송파대로","정당인","서강대학교 신문방송학과 졸업","(현)더불어민주당 대변인(전)국민일보 정치부장논설위원",44623,52.94,NA,"MR"
"서울특별시 ","도봉구갑","국민의힘","김재섭","金宰燮","남","1987-06-28",36,"서울특별시 도봉구 해등로","정당인","서울대학교 법과대학 법학부 졸업(법학사)","(현) 국민의힘 도봉(갑) 조직위원장(전) 국민의힘 비상대책위원",46374,49.05,NA,"MR"
"서울특별시 ","도봉구을","더불어민주당","오기형","吳奇炯","남","1966-11-25",57,"서울특별시 도봉구 도봉로150길","국회의원","서울대학교 법과대학 공법학과 졸업","(현) 도봉(을) 국회의원(현) 더불어민주당 서울시당 정책위원장",50384,52.83,NA,"MR"
"서울특별시 ","노원구갑","더불어민주당","우원식","禹元植","남","1957-09-18",66,"서울특별시 노원구 공릉로70길","국회의원","연세대학교 공학대학원 환경공학전공 졸업(공학석사)","(전) 더불어민주당 원내대표(현) 홍범도장군기념사업회 이사장",91986,58.99,NA,"MR"
"서울특별시 ","노원구을","더불어민주당","김성환","金星煥","남","1965-10-15",58,"서울특별시 노원구 노원로","국회의원","연세대학교 행정대학원 도시및지방행정전공 졸업(행정학 석사)","(전) 민선5,6기 노원구청장(현) 제21대 국회의원",85721,58.51,NA,"MR"
"서울특별시 ","은평구갑","더불어민주당","박주민","朴柱民","남","1973-11-21",50,"서울특별시 은평구 수색로","국회의원","서울대학교 법과대학 사법학과 졸업","(현)더불어민주당 원내수석부대표(현)더불어민주당 을지키는민생실천위원회 위원장",89379,60.78,NA,"MR"
"서울특별시 ","은평구을","더불어민주당","김우영","金宇榮","남","1969-08-05",54,"서울특별시 은평구 연서로48길","정당인","한국과학기술원(KAIST) 미래전략대학원 프로그램 졸업(경영학석사)","(전)은평구청장(전)서울특별시정무부시장",74211,56.95,NA,"MR"
"서울특별시 ","서대문구갑","더불어민주당","김동아","金東我","남","1987-10-30",36,"서울특별시 서대문구 통일로39가길","변호사","건국대학교 법과대학 법학과 졸업","(현) 더불어민주당 정책위원회 부의장(현) 법률사무소 온길 대표변호사",44890,50.75,NA,"MR"
"서울특별시 ","서대문구을","더불어민주당","김영호","金映豪","남","1967-09-13",56,"서울특별시 서대문구 가재울미래로","국회의원","북경대학교 국제학부 졸업(국제학 학사, 1993.9.~1997.7.)","(현) 더불어민주당 서울특별시당 위원장(현) 국회 교육위원회 간사",57198,57.62,NA,"MR"
"서울특별시 ","마포구갑","국민의힘","조정훈","趙廷訓","남","1972-10-07",51,"서울특별시 마포구 도화길","제21대 국회의원","하버드 대학교 케네디스쿨 행정대학원 국제개발행정학 석사 졸업(2000.9.~2002.6.)","(전)세계은행 15년 재직(현)제21대 국회의원",48342,48.3,NA,"MR"
"서울특별시 ","마포구을","더불어민주당","정청래","鄭淸來","남","1965-04-18",58,"서울특별시 마포구 월드컵북로30길","국회의원","서강대학교 공공정책대학원 북한통일정책학과 졸업(정치학석사)","(전) 제17·19대 국회의원(마포구을선거구)(현) 제21대 국회의원(마포구을선거구)",64715,52.44,NA,"MR"
