"Municipality","Constituency","Party_No","Name","Name_hanja","Gender","Female_dm","Male_dm","Party","Date_of_birth","Age","Address","Occupation","Education","Career","Votes","Votes_share","Win_dm"
"서울특별시","종로구","1","곽상언","郭相彦","남",0,1,"더불어민주당","1971-11-18",52,"서울특별시 종로구 통일로","변호사","서울대학교 국제경제학과 졸업","(현) 더불어민주당 종로구 지역위원회 지역위원장(현) 법무법인 인강 대표변호사",44713,50.92,1
"서울특별시","종로구","2","최재형","崔在亨","남",0,1,"국민의힘","1956-09-02",67,"서울특별시 종로구 비봉5길","제21대 국회의원","서울대학교 법학과 졸업 ","(현) 제21대 국회의원(전) 제24대 감사원장",38752,44.13,0
"서울특별시","종로구","6","진예찬","陳叡燦","남",0,1,"새로운미래","1978-12-20",45,"서울특별시 종로구 진흥로22길","정당인","프랑스 파리-발 드 센느 국립고등건축학교 건축학 석사(2010.09-2012.06)","(현) 건축사 (프랑스)(전) 민생당 최고위원",1080,1.22,0
"서울특별시","종로구","7","금태섭","琴泰燮","남",0,1,"개혁신당","1967-09-29",56,"서울특별시 종로구 혜화로6길","정당인","서울대학교 대학원 법학과 박사과정 수료","(전) 제20대 국회의원(현) 개혁신당 최고위원",2835,3.22,0
"서울특별시","종로구","8","김준수","金俊洙","남",0,1,"가락특권폐지당","1960-09-01",63,"서울특별시 종로구 수표로26길","정당인","부산대학교 사범대학 교육학과 2학년 제적(1980.03.~1986.08)","(전) 제19대 국회의원선거 종로구 국민의힘 후보자",54,0.06,0
"서울특별시","종로구","9","김종갑","金鍾甲","남",0,1,"대한국민당","1945-07-31",78,"서울특별시 강동구 천호대로186길","정당인","한국방송통신대학교 중어중문학과 1학년 제적(91.03~92.03)","(전) (사)한국유엔봉사단 총재(현) 한미일동맹국민운동기구",85,0.09,0
"서울특별시","종로구","10","차은정","車銀貞","여",1,0,"민중민주당","1981-02-27",43,"충청남도 서천군 마서면 신장로191번길","정당인","공주대학교 특수교육과 졸업","(현) 민중민주당 반미반전특별위원회위원장(현) 민중민주당 부대변인",290,0.33,0
"서울특별시","중구성동구갑","1","전현희","全賢姬","여",1,0,"더불어민주당","1964-11-04",59,"서울특별시 성동구 왕십리로8길","정당인","고려대학교 법무대학원 의료법학과 졸업(법학석사)","(전) 국민권익위원회 위원장(전) 제18대ㆍ20대 국회의원",65204,52.61,1
"서울특별시","중구성동구갑","2","윤희숙","尹喜淑","여",1,0,"국민의힘","1970-02-07",54,"서울특별시 성동구 행당로","서울대학교 행정대학원 객원교수","미국 콜럼비아대학교 경제학 박사 졸업 (1996.9~2003.5)","(전)제21대 국회의원(전)KDI 국제정책대학원 교수",58726,47.38,0
"서울특별시","중구성동구을","1","박성준","朴省俊","남",0,1,"더불어민주당","1969-04-23",54,"서울특별시 중구 만리재로","국회의원","성균관대학교 대학원 정치외교학과 정치학박사","(현)서울 중구성동구을 국회의원(21대 국회)(현)더불어민주당 대변인",61728,50.81,1
"서울특별시","중구성동구을","2","이혜훈","李惠薰","여",1,0,"국민의힘","1964-06-15",59,"서울특별시 중구 장충단로8길","정치인","미국 UCLA대학교 대학원 경제학 박사(1988.9~1993.12)","(전)17, 18, 20대 국회의원(전)한국개발연구원(KDI) 연구위원",58961,48.53,0
"서울특별시","중구성동구을","7","김영기","金永祺","남",0,1,"한국국민당","1957-06-09",66,"서울특별시 강북구 인수봉로19나길","자영업","연세대 경영학과 졸업","(현)민족회의 통일준비정부 대표(현)개천절 (남북해외)민족공동행사 집행위원장",787,0.64,0
"서울특별시","용산구","1","강태웅","姜泰雄","남",0,1,"더불어민주당","1963-08-29",60,"서울특별시 용산구 이촌로65가길","정당인","서울대학교 행정대학원 졸업(행정학석사)","(전)서울특별시 행정1부시장(전)제21대 국회의원선거(용산구 선거구) 더불어민주당 후보",60473,47.02,0
"서울특별시","용산구","2","권영세","權寧世","남",0,1,"국민의힘","1959-02-24",65,"서울특별시 용산구 장문로9가길","국회의원","미국 하버드대학교 케네디스쿨 졸업(행정학석사, 2000.7.~2001.6.)","(현)서울 용산구 국회의원(전)통일부 장관",66583,51.77,1
"서울특별시","용산구","8","김정현","金正鉉","남",0,1,"무소속","1983-08-13",40,"서울특별시 용산구 유엔빌리지3길","(주)백서스미디어 대표","미국 캔자스대학교 커뮤니케이션학 학사(2002.08.22.-2012.05.11.)","(전) 월간조선 기자(현) 백서스정책연구소 소장",1536,1.19,0
"서울특별시","광진구갑","1","이정헌","李政憲","남",0,1,"더불어민주당","1971-05-05",52,"서울특별시 광진구 천호대로","정당인","서강대학교 영어영문학과 졸업","(전)JTBC 뉴스앵커(전)제20대 대통령선거 더불어민주당 선대위 대변인",54105,52.53,1
"서울특별시","광진구갑","2","김병민","金炳玟","남",0,1,"국민의힘","1982-02-04",42,"서울특별시 광진구 아차산로70길","경희대학교 행정학과 객원교수","경희대학교 대학원 행정학 박사","(전)국민의힘 최고위원(현)경희대학교 행정학과 객원교수",48881,47.46,0
"서울특별시","광진구을","1","고민정","高旼廷","여",1,0,"더불어민주당","1979-08-23",44,"서울특별시 광진구 광나루로56길","국회의원","건국대학교 행정대학원 공공정책학과 석사과정 재학중","(현)제21대 국회의원(현)더불어민주당 최고위원",53362,51.47,1
"서울특별시","광진구을","2","오신환","吳晨煥","남",0,1,"국민의힘","1971-02-07",53,"서울특별시 광진구 광나루로","정당인","건국대학교 행정대학원 도시 및 지역계획학과 석사과정 재학중","(전)제19, 20대 국회의원(전)서울특별시 정무부시장",49347,47.6,0
"서울특별시","광진구을","7","서정민","徐正旼","남",0,1,"한국국민당","1986-02-15",38,"서울특별시 광진구 자양로26길","정책상담가","미기재","(전)「한국정치 새판짜기」저자(전)미 육군성 표창훈장(ARCOM) 수훈",956,0.92,0
"서울특별시","동대문구갑","1","안규백","安圭伯","남",0,1,"더불어민주당","1961-04-29",62,"서울특별시 동대문구 한천로63길","국회의원","성균관대학교 무역대학원 무역학과 석사학위과정 수료","(현)국회의원(서울 동대문구갑)(현)더불어민주당 전략공천관리위원장",53978,52.89,1
"서울특별시","동대문구갑","2","김영우","金榮宇","남",0,1,"국민의힘","1967-01-20",57,"서울특별시 동대문구 이문로","정당인","고려대학교 대학원 석사 (정치외교학) 졸업","(전)제18·19·20대 국회의원(전)YTN 기자",45377,44.46,0
"서울특별시","동대문구갑","7","한승민","韓承珉","여",1,0,"개혁신당","1961-11-28",62,"서울특별시 동대문구 왕산로","정당인","세종대학교 대학원 경제학박사","(전)한나라당 동대문갑지구당위원장(전)한나라당 동대문갑 국회의원선거 출마",2689,2.63,0
"서울특별시","동대문구을","1","장경태","張耿態","남",0,1,"더불어민주당","1983-10-12",40,"서울특별시 동대문구 장한로28가길","국회의원","성균관대학교 국정전문대학원 행정학과 수료(박사학위 과정)","(현)제21대 동대문구을 국회의원(현)더불어민주당 최고위원",58286,54.62,1
